Connected. Use ^D to exit.
-> ls -t /
Target             | Property              | Value                             
/SYS/FANBD/FM0/F0/ | ipmi_name             | FB/FM0/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM0/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM0/F0/ | value                 | 5000.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM0/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM0/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM0/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM0/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM0/F1  | type                  | Fan
/SYS/FANBD/FM0/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM0/F1/ | ipmi_name             | FB/FM0/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM0/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM0/F1/ | value                 | 4200.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM0/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM0/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM0/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM0/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM0/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM0/OK  | type                  | Indicator
/SYS/FANBD/FM0/OK  | ipmi_name             | FB/FM0/OK
/SYS/FANBD/FM0/OK  | value                 | On
/SYS/FANBD/FM0/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM0/    | ipmi_name             | FB/FM0/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM0/    | value                 | Off
 SERVICE           |                       | 
/SYS/FANBD/FM1     | type                  | Front Fan
/SYS/FANBD/FM1     | fault_state           | OK
/SYS/FANBD/FM1     | clear_fault_action    | (none)
/SYS/FANBD/FM1/F0  | type                  | Fan
/SYS/FANBD/FM1/F0/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM1/F0/ | ipmi_name             | FB/FM1/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM1/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM1/F0/ | value                 | 5100.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM1/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM1/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM1/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM1/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM1/F1  | type                  | Fan
/SYS/FANBD/FM1/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM1/F1/ | ipmi_name             | FB/FM1/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM1/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM1/F1/ | value                 | 4300.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM1/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM1/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM1/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM1/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM1/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM1/OK  | type                  | Indicator
/SYS/FANBD/FM1/OK  | ipmi_name             | FB/FM1/OK
/SYS/FANBD/FM1/OK  | value                 | On
/SYS/FANBD/FM1/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM1/    | ipmi_name             | FB/FM1/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM1/    | value                 | Off
 SERVICE           |                       | 
/SYS/FANBD/FM2     | type                  | Front Fan
/SYS/FANBD/FM2     | fault_state           | OK
/SYS/FANBD/FM2     | clear_fault_action    | (none)
/SYS/FANBD/FM2/F0  | type                  | Fan
/SYS/FANBD/FM2/F0/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM2/F0/ | ipmi_name             | FB/FM2/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM2/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM2/F0/ | value                 | 5200.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM2/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM2/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM2/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM2/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM2/F1  | type                  | Fan
/SYS/FANBD/FM2/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM2/F1/ | ipmi_name             | FB/FM2/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM2/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM2/F1/ | value                 | 4300.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM2/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM2/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM2/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM2/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM2/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM2/OK  | type                  | Indicator
/SYS/FANBD/FM2/OK  | ipmi_name             | FB/FM2/OK
/SYS/FANBD/FM2/OK  | value                 | On
/SYS/FANBD/FM2/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM2/    | ipmi_name             | FB/FM2/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM2/    | value                 | Off
 SERVICE           |                       | 
/SYS/FANBD/FM3     | type                  | Front Fan
/SYS/FANBD/FM3     | fault_state           | OK
/SYS/FANBD/FM3     | clear_fault_action    | (none)
/SYS/FANBD/FM3/F0  | type                  | Fan
/SYS/FANBD/FM3/F0/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM3/F0/ | ipmi_name             | FB/FM3/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM3/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM3/F0/ | value                 | 5200.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM3/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM3/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM3/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM3/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM3/F1  | type                  | Fan
/SYS/FANBD/FM3/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM3/F1/ | ipmi_name             | FB/FM3/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM3/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM3/F1/ | value                 | 4300.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM3/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM3/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM3/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM3/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM3/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM3/OK  | type                  | Indicator
/SYS/FANBD/FM3/OK  | ipmi_name             | FB/FM3/OK
/SYS/FANBD/FM3/OK  | value                 | On
/SYS/FANBD/FM3/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM3/    | ipmi_name             | FB/FM3/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM3/    | value                 | Off
 SERVICE           |                       | 
/SYS/FANBD/FM4     | type                  | Front Fan
/SYS/FANBD/FM4     | fault_state           | OK
/SYS/FANBD/FM4     | clear_fault_action    | (none)
/SYS/FANBD/FM4/F0  | type                  | Fan
/SYS/FANBD/FM4/F0/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM4/F0/ | ipmi_name             | FB/FM4/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM4/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM4/F0/ | value                 | 5000.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM4/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM4/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM4/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM4/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM4/F1  | type                  | Fan
/SYS/FANBD/FM4/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM4/F1/ | ipmi_name             | FB/FM4/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM4/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM4/F1/ | value                 | 4300.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM4/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM4/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM4/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM4/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM4/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM4/OK  | type                  | Indicator
/SYS/FANBD/FM4/OK  | ipmi_name             | FB/FM4/OK
/SYS/FANBD/FM4/OK  | value                 | On
/SYS/FANBD/FM4/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM4/    | ipmi_name             | FB/FM4/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM4/    | value                 | Off
 SERVICE           |                       | 
/SYS/FANBD/FM5     | type                  | Front Fan
/SYS/FANBD/FM5     | fault_state           | OK
/SYS/FANBD/FM5     | clear_fault_action    | (none)
/SYS/FANBD/FM5/F0  | type                  | Fan
/SYS/FANBD/FM5/F0/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM5/F0/ | ipmi_name             | FB/FM5/F0/TACH
 TACH              |                       | 
/SYS/FANBD/FM5/F0/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM5/F0/ | value                 | 5100.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM5/F0/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F0/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F0/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM5/F0/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM5/F0/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F0/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM5/F0/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM5/F1  | type                  | Fan
/SYS/FANBD/FM5/F1/ | type                  | Fan
 TACH              |                       | 
/SYS/FANBD/FM5/F1/ | ipmi_name             | FB/FM5/F1/TACH
 TACH              |                       | 
/SYS/FANBD/FM5/F1/ | class                 | Threshold Sensor
 TACH              |                       | 
/SYS/FANBD/FM5/F1/ | value                 | 4200.000 RPM
 TACH              |                       | 
/SYS/FANBD/FM5/F1/ | upper_nonrecov_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F1/ | upper_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F1/ | upper_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM5/F1/ | lower_noncritical_thr | N/A
 TACH              | eshold                | 
/SYS/FANBD/FM5/F1/ | lower_critical_thresh | N/A
 TACH              | old                   | 
/SYS/FANBD/FM5/F1/ | lower_nonrecov_thresh | 2400.000 RPM
 TACH              | old                   | 
/SYS/FANBD/FM5/F1/ | alarm_status          | cleared
 TACH              |                       | 
/SYS/FANBD/FM5/OK  | type                  | Indicator
/SYS/FANBD/FM5/OK  | ipmi_name             | FB/FM5/OK
/SYS/FANBD/FM5/OK  | value                 | On
/SYS/FANBD/FM5/    | type                  | Indicator
 SERVICE           |                       | 
/SYS/FANBD/FM5/    | ipmi_name             | FB/FM5/SERVICE
 SERVICE           |                       | 
/SYS/FANBD/FM5/    | value                 | Off
 SERVICE           |                       | 
/SYS/FAN_FAULT     | type                  | Indicator
/SYS/FAN_FAULT     | ipmi_name             | FAN_FAULT
/SYS/FAN_FAULT     | value                 | Off
/SYS/INTSW         | type                  | Physical Security
/SYS/INTSW         | ipmi_name             | INTSW
/SYS/INTSW         | class                 | Discrete Sensor
/SYS/INTSW         | value                 | State Deasserted
/SYS/INTSW         | alarm_status          | cleared
/SYS/LOCATE        | type                  | Indicator
/SYS/LOCATE        | ipmi_name             | LOCATE
/SYS/LOCATE        | value                 | Off
/SYS/MB            | type                  | Motherboard
/SYS/MB            | ipmi_name             | MB
/SYS/MB            | fru_name              | MB
/SYS/MB            | fru_description       | BD,SPARC T3-1,MB,RF
/SYS/MB            | fru_manufacturer      | 5030 CELESTICA CORP. SRIRACHA 
                   |                       | CHONBURI TH
/SYS/MB            | fru_part_number       | 541-3857-09
/SYS/MB            | fru_rev_level         | 54
/SYS/MB            | fru_serial_number     | 1005LCB-1133B20DEH
/SYS/MB            | fault_state           | OK
/SYS/MB            | clear_fault_action    | (none)
/SYS/MB/BAT        | type                  | Battery
/SYS/MB/BAT        | fault_state           | OK
/SYS/MB/BAT        | clear_fault_action    | (none)
/SYS/MB/CMP0       | type                  | Host Processor
/SYS/MB/CMP0       | component_state       | Enabled
/SYS/MB/CMP0       | fru_name              | Oracle SPARC T3
/SYS/MB/CMP0       | fru_manufacturer      | Oracle Corporation
/SYS/MB/CMP0       | fru_version           | 3e002821030607
/SYS/MB/CMP0       | fru_serial_number     | 0000000000000000000a02807b7dc8a3
/SYS/MB/CMP0/BOB0  | type                  | Memory Branch
/SYS/MB/CMP0/BOB0/ | type                  | CPU Memory Controller Channel
 CH0               |                       | 
/SYS/MB/CMP0/BOB0/ | type                  | CPU Memory Controller Channel
 CH1               |                       | 
/SYS/MB/CMP0/BOB0/ | type                  | DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | ipmi_name             | B0/C1/D0
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | component_state       | Enabled
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fru_name              | 16384MB DDR3 SDRAM DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fru_manufacturer      | Samsung
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fru_part_number       | 000-0000-00,M393B2K70CMB-YF8
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fru_rev_level         | 00
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fru_serial_number     | 00CE0211328590ED79
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | fault_state           | OK
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | clear_fault_action    | (none)
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB0/ | type                  | Indicator
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB0/ | ipmi_name             | B0/C1/D0/S
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB0/ | value                 | Off
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB0/ | type                  | Temperature
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB0/ | ipmi_name             | B0/C1/D0/T
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB0/ | class                 | Threshold Sensor
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB0/ | value                 | 41.000 degree C
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB0/ | upper_nonrecov_thresh | 95.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB0/ | upper_critical_thresh | 90.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB0/ | upper_noncritical_thr | 85.000 degree C
 CH1/D0/T_AMB      | eshold                | 
/SYS/MB/CMP0/BOB0/ | lower_noncritical_thr | -5.000 degree C
 CH1/D0/T_AMB      | eshold                | 
/SYS/MB/CMP0/BOB0/ | lower_critical_thresh | -8.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB0/ | lower_nonrecov_thresh | -10.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB0/ | alarm_status          | cleared
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB1  | type                  | Memory Branch
/SYS/MB/CMP0/BOB1/ | type                  | CPU Memory Controller Channel
 CH0               |                       | 
/SYS/MB/CMP0/BOB1/ | type                  | CPU Memory Controller Channel
 CH1               |                       | 
/SYS/MB/CMP0/BOB1/ | type                  | DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | ipmi_name             | B1/C1/D0
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | component_state       | Enabled
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fru_name              | 16384MB DDR3 SDRAM DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fru_manufacturer      | Samsung
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fru_part_number       | 000-0000-00,M393B2K70CMB-YF8
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fru_rev_level         | 00
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fru_serial_number     | 00CE021132868DACE9
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | fault_state           | OK
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | clear_fault_action    | (none)
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB1/ | type                  | Indicator
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB1/ | ipmi_name             | B1/C1/D0/S
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB1/ | value                 | Off
 CH1/D0/SERVICE    |                       | 
/SYS/MB/CMP0/BOB1/ | type                  | Temperature
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB1/ | ipmi_name             | B1/C1/D0/T
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB1/ | class                 | Threshold Sensor
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB1/ | value                 | 38.000 degree C
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB1/ | upper_nonrecov_thresh | 95.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB1/ | upper_critical_thresh | 90.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB1/ | upper_noncritical_thr | 85.000 degree C
 CH1/D0/T_AMB      | eshold                | 
/SYS/MB/CMP0/BOB1/ | lower_noncritical_thr | -5.000 degree C
 CH1/D0/T_AMB      | eshold                | 
/SYS/MB/CMP0/BOB1/ | lower_critical_thresh | -8.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB1/ | lower_nonrecov_thresh | -10.000 degree C
 CH1/D0/T_AMB      | old                   | 
/SYS/MB/CMP0/BOB1/ | alarm_status          | cleared
 CH1/D0/T_AMB      |                       | 
/SYS/MB/CMP0/BOB2  | type                  | Memory Branch
/SYS/MB/CMP0/BOB2/ | type                  | CPU Memory Controller Channel
 CH0               |                       | 
/SYS/MB/CMP0/BOB2/ | type                  | CPU Memory Controller Channel
 CH1               |                       | 
/SYS/MB/CMP0/BOB2/ | type                  | DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | ipmi_name             | B2/C1/D0
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | component_state       | Enabled
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fru_name              | 16384MB DDR3 SDRAM DIMM
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fru_manufacturer      | Samsung
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fru_part_number       | 000-0000-00,M393B2K70CMB-YF8
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fru_rev_level         | 00
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fru_serial_number     | 00CE0211328385E037
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | fault_state           | OK
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | clear_fault_action    | (none)
 CH1/D0            |                       | 
/SYS/MB/CMP0/BOB2/ | type                  | Indicator
